                                      extracted_emojis                              Sentiment_score
130  incredible features.nice app for video editing...    (0.35333333333333333, 0.6466666666666666)
131  i like triller because it's an entertaining ap...                               (0.78125, 0.7)
132  the most delightful experience of using this t...     (0.5454545454545454, 0.6515151515151515)
133  i love this app because its kind of like tik t...     (0.7000000000000001, 0.8333333333333334)
134  worthy application to try for video editor and...                    (0.7777777777777777, 1.0)
135  best app ever but there should be a long perio...                                (0.475, 0.35)
136  it's awesome but if i put images i don't see t...                                   (1.0, 1.0)
137  this programme is fantastic for video editing,...    (0.41666666666666663, 0.8166666666666667)
138  i just love it...its awesome keep up the good ...                   (0.54, 0.5650000000000001)
139  it's such a good alternative to tiktok since i...                                 (0.35, 0.55)
140  loving it so far. i'm going to support this ap...     (0.1818181818181818, 0.7488636363636364)
141  this is the very good platform to all little s...     (0.3741666666666667, 0.5933333333333334)
142  as it is new its really good but for me when i...   (0.16742424242424242, 0.30530303030303035)
143  it's a really good app and you can make really...     (0.5833333333333334, 0.7666666666666666)
144  it's a fun so that you and your friends can en...    (0.17777777777777778, 0.3444444444444444)
145  yeah i'm a hip hop dancer..i think triller wil...                                  (1.0, 0.65)
146  this app is very easy to use and creates beaut...     (0.6155555555555555, 0.9444444444444445)
147  it lets you take as many videos as you want th...                                 (0.625, 0.5)
148  i am very much a fan of this application for i...                                 (0.26, 0.26)
149  i give this app a 5 because its not just danci...                            (-0.15625, 0.375)
150  it's like kinda like tik tok but better. you c...    (0.3833333333333333, 0.44999999999999996)
151  enjoyed very a good deal the usage of this app...     (0.7877777777777778, 0.8266666666666667)
152  this app is awesome, we can adjust our video a...     (0.7166666666666667, 0.9166666666666667)
153  it's really great!!! i'm loving it!!! the only...                    (0.6666666666666666, 0.9)
154  not too good just give you guys 5stars cause o...                    (0.7, 0.6000000000000001)
155  great app to express yourself and find your go...                                (0.75, 0.675)
156  it's amazing application smoth working and no ...                    (0.6000000000000001, 0.9)
157  it's good cause as u know tiktok might be gett...                               (0.5, 0.51875)
158  love it i can actually get a lil work out in w...                                (0.325, 0.35)
159  i use triller to make dance videos and they lo...                    (0.7, 0.6000000000000001)
160  must use this awesome application for video ed...                                   (0.6, 0.6)
161  this is an amazing app.... all features are ve...     (0.8366666666666666, 0.8933333333333334)
162  this app is very very fun to use for any type ...                   (0.6950000000000001, 0.63)
163  this photo editor has a variety of birthday ph...                                   (0.0, 0.0)
164  it is a good and interesting app...but the app...                                  (0.6, 0.55)
165  it's fun i get to dance have fun make some wit...                   (0.3, 0.20000000000000004)
166  use variety of different filters are available...                                   (0.2, 0.5)
167  awesome and new look with more features for sh...    (0.40909090909090906, 0.5636363636363636)
168  compilation of photos in videos is now easier ...                                   (0.0, 0.0)
169  it's an amazing application for new creators t...    (0.40653409090909093, 0.6772727272727272)
170  must try triller for video editor and triller ...                                   (0.2, 0.2)
171  it's really good it's like tiktok almost it's ...    (0.20416666666666664, 0.5708333333333333)
172  sometimes it won't upload audio it self and ha...                                   (0.0, 0.0)
173  wonderful application services for video edito...     (0.8666666666666667, 0.9666666666666667)
174  it is super easy and awesome app for editing s...    (0.38611111111111107, 0.6333333333333333)
175  this is the best vid editing app i ever used. ...     (0.8333333333333334, 0.6333333333333333)
176  pretty cool we have lots of fun on the app gre...                  (0.425, 0.6499999999999999)
177  awesome app. so fantastic to making small vide...                                (0.4125, 0.7)
178  i love the everything about triller and this a...     (0.7600000000000001, 0.6333333333333334)
179  best app to make videos with. similar to tik t...                   (0.5, 0.39999999999999997)
