                                      extracted_emojis                               Sentiment_score
155  what an amazing app. this is a beautiful app. ...                    (0.7250000000000001, 0.95)
156  excellent app. keeps me in touch with my follo...                                    (1.0, 1.0)
157  no facebook . i facebook no loge out it has no...     (-0.6999999999999998, 0.6666666666666666)
158  app is awesome but i recently kind of lost my ...      (0.2557692307692308, 0.7923076923076923)
159  very good when i get the chance to listen to i...     (0.42999999999999994, 0.5900000000000001)
160  vary good app and friendly to users. very conv...     (0.32916666666666666, 0.5833333333333334)
161               great app to find friends and family                                   (0.8, 0.75)
162  facebook needs to start acting right and stop ...    (0.18839285714285714, 0.28214285714285714)
163  ok when you learn how to use i am really likin...                                    (0.3, 0.3)
164  nowadays i cannot imagine a single day without...    (-0.2357142857142857, 0.40714285714285714)
165  this app is to profitable for those users who ...   (-0.008333333333333331, 0.2916666666666667)
166  facebook now not well working cause most probl...                                    (0.0, 0.7)
167  uhmm please see this i can't seem to log in my...                                   (0.35, 0.8)
168  amazing app for connecting friends with friend...                    (0.6033333333333334, 0.56)
169  i use it almost every day and keep it close by...                                 (0.175, 0.35)
170  sub: professional mode not showing hi facebook...    (0.06666666666666667, 0.39999999999999997)
171  this app is so awesome i can't call my friends...                                    (1.0, 1.0)
172  indeed, in today's age, facebook is a great to...                  (0.2791666666666667, 0.5375)
173  this is sandra. i really enjoy keeping up with...                                   (0.45, 0.7)
174  of late getting updates on certain videos as v...    (-0.17390873015873018, 0.6283730158730159)
175  a good app, but i have a problem with the musi...                     (0.7, 0.6000000000000001)
176  i am not able to log in my mobile with any id....                  (-0.013888888888888895, 0.5)
177  all good on facebook you see people on faceboo...                     (0.7, 0.6000000000000001)
178     lots of fun, makes it easier to stay in touch.                                    (0.3, 0.2)
179  love this is a way too keep in touch with my o...                   (0.40727272727272723, 0.62)
180  you can take to friend and fam and you can by ...                   (0.875, 0.6000000000000001)
181  this app to be unsafe for partners to cooperat...    (0.036111111111111115, 0.3138888888888889)
182  hello developers, this application is amazing,...     (0.38876262626262625, 0.6023569023569023)
183  great app and great place to meet up with fami...                                   (0.8, 0.75)
184  very good all the time on my phone . all of su...     (0.45499999999999996, 0.6400000000000001)
185  why facebook features has changed totally and ...                                   (0.0, 0.75)
186  uhhhh me, 0ptap on a clip to paste it in the t...                                    (0.0, 0.0)
187  high level    just to make just got home jobs ...                    (0.16, 0.5399999999999999)
188  dear fb authority. i need a help. actually mis...    (0.06666666666666667, 0.10000000000000002)
189  supported on older os chromebooks and runs lik...     (0.16666666666666666, 0.3333333333333333)
190  it's something i'm not sure what this place is...                     (0.4, 0.6277777777777778)
191  this app makes one feel like he is home even i...                                    (0.0, 0.0)
192  it's ok but when it says it's going to give yo...    (-0.16666666666666666, 0.7999999999999999)
193  so interesting to read but i am insecure about...                              (-0.15, 0.71875)
194  hello facebook team plz trouble my profile acc...                                   (-0.1, 0.6)
195                     sensational, lack of direction      (0.6666666666666666, 0.6666666666666666)
196  it's been over a decade having facebook and ti...                                    (0.5, 1.0)
197  everything is ok but the facebook avatar optio...                                  (0.15, 0.45)
198  please add icon reels instead of icon requests...                                    (0.0, 0.0)
199  a wonderful experience of getting world news o...                                    (1.0, 1.0)
200  love it! good way to communicate with family a...                  (0.6625, 0.6000000000000001)
201  a good way to stay in touch with friends or fa...     (0.35555555555555557, 0.7333333333333334)
202  atfer installation, i can't see photos and vid...                                  (0.15, 0.55)
203  extremely entertaining evoking evolution on ti...                   (0.09666666666666666, 0.62)
204  it's great to stay in touch with friends, fami...                               (0.8375, 0.775)
205  i haven't been able to open the fb account yet...                                (0.25, 0.5625)
206  ever since the system update facebook won't st...                                    (0.0, 0.0)
207  it's all about staying in touch with friends. ...    (0.13636363636363635, 0.45454545454545453)
208  kindly display this rose in place of my photo ...                                  (0.6, 0.925)
209  can't say enough about these guys... great ser...                                  (0.5, 0.625)
210  experiences are great. i have always loved fac...      (0.7166666666666667, 0.7333333333333334)
211  this is a very good app. i can talk to many of...                   (0.705, 0.6400000000000001)
212  as of now i experience sone difficulties recie...                                    (0.0, 0.0)
213  facebook app is so sweet funny videos, tiktok ...                                  (0.3, 0.825)
214  nothing to complain about. great ui, it is ver...      (0.5933333333333334, 0.6833333333333332)
215  nice app the market place makes it a superb ap...                     (0.3666666666666667, 1.0)
216  fixed my problem in 10 seconds after a 1*, her...                                    (0.1, 0.2)
217  right place for students looking for individua...     (0.13714285714285715, 0.3071428571428572)
218   very good way to connect with family an friends.      (0.9099999999999999, 0.7800000000000001)
219  facebook is part of life.becouse facebook has ...                    (0.36, 0.4600000000000001)
220  really fun to use and really good with the dev...                                    (0.5, 0.4)
221  love the new perks and the user friendly versi...     (0.42784090909090905, 0.5386363636363636)
222  unfurtunately! there are some issues about mar...                                 (0.0, 0.2625)
223  this app is a mess i sent all kind of reports ...                              (0.4125, 0.5375)
224  a little difficult to get facebook to successf...     (0.04971590909090909, 0.7261363636363637)
225  this is great app. very useful app , i love zu...                 (0.4875, 0.43500000000000005)
226  facebook is the best game because its not a ga...      (0.2674479166666667, 0.4854166666666667)
227  nice and new update i say one thing factbook p...     (0.36818181818181817, 0.7272727272727273)
228  i like facebook very much because facebook use...    (0.08444444444444447, 0.28888888888888886)
229  this app helps me keep in touch with the peopl...      (0.4083333333333334, 0.7333333333333334)
230  it's ok ...but always say facebook not respond...                                    (0.5, 0.5)
231  facebook is an outstanding social networking a...    (0.22791666666666663, 0.30833333333333335)
232  having problems logging on it says not connect...                                    (0.0, 0.0)
233      helps the mind guessing, learning, and active                   (-0.13333333333333333, 0.6)
234         love this game. fun to figure puzzles out.    (0.13333333333333333, 0.39999999999999997)
235  grate app sound for keeping in touch with fami...                                    (0.4, 0.4)
236  facebook app doesn't login some error occurred...                                    (0.0, 0.0)
237  it's a good apps for any user.its a easy apps ...      (0.5541666666666667, 0.8583333333333334)
238  i like facebook  and facebook help center is w...                                   (-0.1, 0.1)
239  love facebook great thing to have to talk to f...                                 (0.65, 0.675)
240  this app's good for general use like watching ...                   (0.11250000000000002, 0.45)
