                                      extracted_emojis                               Sentiment_score
219  much better than other apps. no drop outs. we'...                              (0.1875, 0.4375)
220  very reliable and dependable. never had any is...                   (0.18, 0.41999999999999993)
221  so far love this app. love the privacy which s...     (0.20208333333333334, 0.6854166666666667)
222  reliable. use it instead of texting whenever i...                                    (0.0, 0.0)
223  incredibly reliable, add free and beautiful in...                     (0.7166666666666667, 0.9)
224           simple and secure, with 0 bugs. perfect.      (0.4666666666666666, 0.6523809523809524)
225     no adds, simple to use and respect of privacy.                    (0.0, 0.35714285714285715)
226  finally a secured adfree no spying comm app, e...     (0.18333333333333335, 0.8500000000000001)
227  love signal a d very grateful for its reliabil...                    (0.2866666666666667, 0.48)
228  bestbm messaging and group sharing app, wether...                                    (0.0, 0.0)
229      very nice app. does the job, fast and simple.     (0.32666666666666666, 0.6523809523809524)
230        easy to use, and really liking the privacy.     (0.31666666666666665, 0.5166666666666667)
231    simple, fast and yet very handy, secure and oss                   (0.345, 0.6392857142857142)
232  app is pretty exception and makes me feel bett...                                (0.4125, 0.65)
233  i liked this messenger very much. i deleted my...     (0.46499999999999997, 0.6372222222222222)
234  as long as connectivity is good the app works ...    (0.28333333333333327, 0.43333333333333335)
235  works well even when wifi or phone services ar...                               (-0.375, 0.625)
236  excellent app so far so good no explain. still...                     (0.7, 0.8400000000000001)
237  i just really love using this app because i ha...                             (0.5875, 0.68125)
238  still better than whatsapp! all my friends hav...                                  (0.625, 0.5)
239  excellent with device transfer plus end to end...                                    (1.0, 1.0)
240  had it about a month now. seems to work pretty...                                  (0.175, 1.0)
241  very private and secure app. great messaging app.      (0.4000000000000001, 0.6124999999999999)
242  it's great to have a social platform that is s...    (0.36111111111111116, 0.33888888888888885)
243  thankful this app exists. family has begun spr...                                    (0.0, 0.0)
244      easy to use and great for large text groups!!       (0.522718253968254, 0.6706349206349206)
245  very good app but data are not recover when mo...      (0.9099999999999999, 0.7800000000000001)
246  my experience so far is good. it is easy to us...      (0.4083333333333333, 0.8083333333333333)
247  very professional in usage, information and da...                                  (0.13, 0.13)
248  messaging with coworkers is very secure and ea...      (0.4633333333333334, 0.8755555555555555)
249  nice messenger, even better than whatsapp and ...                                   (0.5, 0.65)
250  great for chats and group chats with your mate...                                 (0.65, 0.675)
251    easy operation . quick response. clear reading.     (0.28888888888888886, 0.5722222222222223)
252  easiest way for us to communicate with our son...     (0.21666666666666667, 0.4166666666666667)
253  a few niggling bugs but good service and worth...    (0.26666666666666666, 0.26666666666666666)
254  doesn't notify people in groups chats right aw...      (0.2857142857142857, 0.5357142857142857)
255      always a good connection and a clear picture.     (0.39999999999999997, 0.4916666666666667)
256              ads annoy big time. i don't like ads.                                    (0.0, 0.1)
257  love signal❤️. keep up the good work. in few y...      (0.3333333333333333, 0.4333333333333334)
258  still the messaging app of choice for privacy ...                                    (0.0, 0.0)
259  the problem is that the phone does not bring u...                                    (0.0, 0.0)
260             best there is - easy, safe and no ads.      (0.6444444444444445, 0.5444444444444444)
261  it's seamless, i really like the ui, thanks fo...                                  (0.26, 0.35)
262  excellent . but can update with last seen noti...                     (0.5, 0.5333333333333333)
263        easy to use for individual and group chats.     (0.21666666666666667, 0.6166666666666667)
264  its easy and no advertising...wich makes me li...      (0.3565656565656566, 0.6111111111111112)
265  continues to improve and is the best secure me...                    (0.7, 0.44999999999999996)
266  immediately lock not available like whatsapp. ...                                   (-0.2, 0.4)
267  very easy to use, but couldn't figure out how ...                     (0.5633333333333334, 1.0)
268  everything appears to work as well if not bett...                                (-0.125, 0.45)
269  easy to use and reliable . don't look at the adds     (0.43333333333333335, 0.8333333333333334)
270     simple and powerful, easy and safe! thank you.     (0.33958333333333335, 0.6726190476190477)
271  edit: it appears to have just gone woke too wi...      (0.2556818181818182, 0.4772727272727273)
272  best app and best alternative to whatsapp, i'v...      (0.7222222222222222, 0.3111111111111111)
273  excellent service... and finally u added video...                                    (0.5, 1.0)
274  so far it's answered every question. enjoying ...                              (0.325, 0.60625)
275  very good at syncing contacts and keeyour msg ...                   (0.705, 0.6900000000000001)
276  excellent privacy enhanced messaging and calling.                                    (1.0, 1.0)
277  works line a charm, one of the few apps i actu...                                   (-0.1, 0.1)
278  it works great and is full featured for public...     (0.3833333333333333, 0.45555555555555555)
