                                      extracted_emojis                               Sentiment_score
151  tiktok is best intertnment for many kind of pe...     (0.5714285714285714, 0.42857142857142855)
152  i have has this app since it has turned from m...                                (0.1625, 0.55)
153  reluctant to try it. i finally got on tiktok a...     (0.18787878787878787, 0.5547348484848484)
154  excellent app..but new updates dont have hd up...     (0.48989898989898983, 0.6515151515151515)
155  i love this app. the info that i've received f...      (0.3044155844155845, 0.5314285714285715)
156  it's fun to use if a bit intimidating after yo...                    (0.6000000000000001, 0.55)
157  it's addictive. but you find anything, great l...     (0.43333333333333335, 0.7166666666666667)
158  excitement since i joined this platform. am ne...     (0.19545454545454544, 0.5015151515151515)
159  wonderful app; some more improvement required ...                                  (0.75, 0.75)
160  this app turned out to be a good place to be a...       (0.2287202380952381, 0.487797619047619)
161  this app is awesome. it is very entertaining. ...                    (0.4619999999999999, 0.69)
162  its amazing! the endless amount of videos, way...                             (0.55625, 0.9125)
163  there's always a video that someone can relate...      (0.4166666666666667, 0.4083333333333333)
164  you can make free videos and it is interesting...                    (0.45, 0.6000000000000001)
165  good evening,, i thank all my friends who use ...                               (0.4375, 0.575)
166  china's tick tock is way much more better and ...                   (0.33999999999999997, 0.36)
167  this is way tiktok is great, it's like the fir...     (0.44772727272727275, 0.5146464646464647)
168  so glad that tiktok is a app it is so entertai...     (0.32333333333333336, 0.7433333333333334)
169  i love the videos that everyone makes and the ...     (0.45909090909090905, 0.5636363636363636)
170  this very wonderful but you need to improve so...     (0.15833333333333333, 0.4680555555555556)
171  it's crazy awesome and fun. when i'm having a ...     (0.14428571428571432, 0.6366666666666666)
172  tik tok is an amazing app that i have in my ph...     (0.24545454545454548, 0.7848484848484848)
173  clever algorithm, safe environment, and a smar...     (0.29365079365079366, 0.6587301587301587)
174  tiktok has been carrying 2017-2022, tiktok has...     (0.39999999999999997, 0.2333333333333333)
175  best social media site by far. fun and enjoyab...      (0.4291666666666667, 0.5208333333333333)
176  mobile app is much nicer than desktop version....    (0.09999999999999999, 0.13333333333333333)
177  fun to use. hard to keep on my phone due to st...    (-0.05761904761904762, 0.5869047619047619)
178  i love all the good thoughts and direction peo...     (0.44886363636363635, 0.5772727272727273)
179  tiktok is very usefull app , it provides us en...                                  (0.23, 0.28)
180  love this app, i spend everyday on it like 1-2...   (-0.015909090909090914, 0.6636363636363637)
181  i love the app but i've noticed some issues si...     (0.18787878787878787, 0.5714015151515152)
182  data safety precaution is well and fine. but w...    (-0.01190476190476191, 0.6571428571428571)
183  best experience ever! the algorithm is amazing...      (0.6166666666666667, 0.4666666666666666)
184  tiktok is very good for almost everything in t...      (0.3427142857142857, 0.5138571428571429)
185  best app ever i'm on a 24/7 and keeps you so s...                                (0.6125, 0.45)
186  i get all the contents that make my day on thi...                                    (0.5, 0.6)
187  it's the only app that i use at all! it's been...                (0.153125, 0.6187499999999999)
188  it's great but i can't have any of the new upd...      (0.1672727272727273, 0.5875757575757576)
189  this app is lit,  but the only problem is that...                  (0.38825757575757575, 0.575)
190  amazing app producing at the same time both fe...      (0.2766233766233766, 0.6827922077922076)
191  it is definitely a life-changing and really fu...    (0.23333333333333334, 0.41666666666666663)
192  when you are bored just get on it and u will b...                                  (-0.15, 0.6)
193  you are entertained, you learn, you are amazed...                     (0.0, 0.5555555555555555)
194  tiktok is better for home use you'll get more ...      (0.3333333333333333, 0.5333333333333333)
