                                      extracted_emojis                               Sentiment_score
141  i can't log in  edit: bugs have been  fixed an...                   (0.25833333333333336, 0.35)
142  this app is very peaceful and it's easy to lea...      (0.3229166666666667, 0.5125000000000001)
143  don't believe the hate. beautiful interface, b...                                  (0.29, 0.73)
144  good so far and i give 5 stars, just hope more...      (0.4333333333333333, 0.7000000000000001)
145  awesome app. i think it would be overcoming in...      (0.7166666666666667, 0.7999999999999999)
146  the app is still on process, but i think is go...                                   (1.0, 0.75)
147  this is an awesome app.. i personally loved it...     (0.40208333333333335, 0.5604166666666667)
148  good app with fantastic potential. hopefully t...                    (0.22000000000000003, 0.7)
149  im really liking how clean this platform feels...     (0.2833333333333333, 0.45000000000000007)
150  grear app. insta users need to transfer here a...                                    (0.0, 0.3)
151  great concept ! love it ! i hope they will add...      (0.5416666666666666, 0.6722222222222222)
152  nice user interface. it's only downside that n...     (0.19999999999999998, 0.7999999999999999)
153  interesting... the app is really nicely design...     (0.19814814814814816, 0.7407407407407408)
154  so far, the experience has been smooth. there ...      (0.3333333333333333, 0.6666666666666666)
155  this app looks great! but please someone tell ...                                  (0.5, 0.425)
156  great for creatives. good for networking and a...                               (0.725, 0.7125)
157  the idea is amazing, all in one app. clean and...      (0.5305555555555556, 0.7333333333333334)
158  for a beta it's wonderful and i can't wait to ...                                    (1.0, 1.0)
159  still beta so many issues, but once it reaches...      (0.2833333333333333, 0.6833333333333332)
160                       this is what we really want.                                    (0.2, 0.2)
161  grt idea grt social media bt need some policy ...    (0.03333333333333333, 0.06666666666666667)
162  instagram has been expired by this app ,i real...                                   (0.25, 0.2)
163  i love it! this will replace instagram & proba...                                  (0.625, 0.6)
164  in the future it's going to be much better tha...                                (0.25, 0.3125)
165  working well. trying to get verified but suppo...                                    (0.0, 0.0)
166  it's so good i replaced snapchat with it (beca...     (0.41818181818181815, 0.5272727272727273)
167  it works fine for me idk why is everyone upset...                     (0.6083333333333334, 0.6)
168  i actually think its one of the best interface...     (0.5666666666666667, 0.43333333333333335)
169  ux is awful but still worth it to wait for an ...                                 (-0.35, 0.55)
170     great ui and very user friendly app.. love it!                                 (0.5, 0.5375)
171  how to get verified account on vero?? help me ...                                    (0.2, 0.2)
172      this is a great idea. i find it so addictive.                                  (0.4, 0.825)
173                   love it! it's easy to understand      (0.5291666666666667, 0.7166666666666667)
