                                      extracted_emojis                               Sentiment_score
137  amazing app. helped me always to switch the jo...     (0.5666666666666668, 0.43333333333333335)
138  very useful and informative place for research...                                   (0.39, 0.0)
139  best app i have ever seen . study realated sti...                                    (1.0, 0.3)
140  it is amazing app haunts for a any kind of job...                    (0.27, 0.7733333333333334)
141  i'm learning a lot on linkedin and the network...                     (0.6000000000000001, 0.9)
142  it's very good app in terms of work and busine...      (0.9099999999999999, 0.7800000000000001)
143  linkedin is amazing. my favorite app for daily...      (0.3666666666666667, 0.6333333333333333)
144  great app. for businesses to advertise and gre...                                   (0.8, 0.75)
145  best professional platform for connecting and ...                                   (0.55, 0.2)
146  great place to connect and meet with similar i...                                  (0.4, 0.575)
147  excellent resource for high level positions an...                    (0.4033333333333333, 0.68)
148  i use it to update professional knowledge. it ...                                   (0.2, 0.05)
149  excellent app and valuable resource for. netwo...                                    (1.0, 1.0)
150  linkedin is the best platform for branding, pe...                                   (0.6, 0.45)
151    great positions to choose from and easy access.      (0.6166666666666667, 0.7916666666666667)
152  it's amazing how it works, sometimes i feel th...                                    (0.8, 0.6)
153  cool app, progressing, new useful features eve...      (0.4172727272727272, 0.5209090909090909)
154  i had great experience about linkdin.linkdin h...      (0.6166666666666667, 0.7916666666666667)
155  great app. easy to navigate and connect to oth...      (0.6166666666666667, 0.7916666666666667)
156  it is a very helpful application for professio...                (0.037500000000000006, 0.3375)
157  excellent stats monitoring tells you a story a...                              (0.4375, 0.6875)
158  very good app, but i faced some bugs in the in...     (0.45499999999999996, 0.7233333333333334)
159             easy to navigate, well laid and clear.     (0.26666666666666666, 0.6083333333333334)
160  it has been phenomenal.i have met some fantast...                    (0.3333333333333333, 0.85)
161  perfect platform for those who want to learn a...                                    (1.0, 1.0)
162  excellent aap for those who finding job in any...     (0.35208333333333336, 0.5770833333333334)
163  it's a great app for finding that perfect care...                     (0.6, 0.9166666666666666)
164  good app to get connected n network with other...               (0.271875, 0.48750000000000004)
165  best platform for learning global employment t...                                   (0.5, 0.15)
